rpm -qa --queryformat "%{name},%{version}-%{release},%{arch}\n" | LANG=C sort
IO_Tty,1.11-1.el8,x86_64
Net_OpenSSH,0.62-1.el8,x86_64
OpenIPMI,2.0.27-1.0.1.el8,x86_64
OpenIPMI-libs,2.0.27-1.0.1.el8,x86_64
acl,2.2.53-1.el8,x86_64
aide,0.16-14.el8,x86_64
alsa-lib,1.2.3.2-1.el8,x86_64
apr,1.6.3-11.el8,x86_64
apr-util,1.6.1-6.el8,x86_64
apr-util-bdb,1.6.1-6.el8,x86_64
apr-util-openssl,1.6.1-6.el8,x86_64
at,3.1.20-11.el8,x86_64
attr,2.4.48-3.el8,x86_64
audit,3.0-0.17.20191104git1c2f876.el8,x86_64
audit-libs,3.0-0.17.20191104git1c2f876.el8,x86_64
avahi-libs,0.7-19.el8,x86_64
basesystem,11-5.el8,noarch
bash,4.4.19-12.el8,x86_64
bash-completion,2.7-5.el8,noarch
bc,1.07.1-5.el8,x86_64
bind-export-libs,9.11.20-5.el8,x86_64
biosdevname,0.7.3-2.el8,x86_64
blktrace,1.2.0-10.el8,x86_64
boost-atomic,1.66.0-10.el8,x86_64
boost-chrono,1.66.0-10.el8,x86_64
boost-date-time,1.66.0-10.el8,x86_64
boost-iostreams,1.66.0-10.el8,x86_64
boost-program-options,1.66.0-10.el8,x86_64
boost-random,1.66.0-10.el8,x86_64
boost-regex,1.66.0-10.el8,x86_64
boost-system,1.66.0-10.el8,x86_64
boost-thread,1.66.0-10.el8,x86_64
brotli,1.0.6-2.el8,x86_64
bzip2,1.0.6-26.el8,x86_64
bzip2-libs,1.0.6-26.el8,x86_64
ca-certificates,2020.2.41-80.0.el8_2,noarch
cairo,1.15.12-3.el8,x86_64
chkconfig,1.13-2.el8,x86_64
chrony,3.5-1.0.1.el8,x86_64
cifs-utils,6.8-3.el8,x86_64
clufter-bin,0.77.1-5.el8,x86_64
clufter-common,0.77.1-5.el8,noarch
copy-jdk-configs,3.7-4.el8,noarch
coreutils,8.30-8.0.1.el8,x86_64
coreutils-common,8.30-8.0.1.el8,x86_64
corosync,3.0.3-4.el8,x86_64
corosynclib,3.0.3-4.el8,x86_64
cpio,2.12-8.el8,x86_64
cracklib,2.9.6-15.el8,x86_64
cracklib-dicts,2.9.6-15.el8,x86_64
createrepo_c,0.15.11-2.el8,x86_64
createrepo_c-libs,0.15.11-2.el8,x86_64
cronie,1.5.2-4.el8,x86_64
cronie-anacron,1.5.2-4.el8,x86_64
crontabs,1.11-16.20150630git.el8,noarch
crypto-policies,20200713-1.git51d1222.el8,noarch
crypto-policies-scripts,20200713-1.git51d1222.el8,noarch
cryptsetup,2.3.3-2.el8,x86_64
cryptsetup-libs,2.3.3-2.el8,x86_64
cups-libs,2.2.6-38.el8,x86_64
curl,7.61.1-14.el8,x86_64
cyrus-sasl-lib,2.1.27-5.el8,x86_64
daxctl-libs,67-2.el8,x86_64
dbus,1.12.8-11.0.1.el8,x86_64
dbus-common,1.12.8-11.0.1.el8,noarch
dbus-daemon,1.12.8-11.0.1.el8,x86_64
dbus-libs,1.12.8-11.0.1.el8,x86_64
dbus-tools,1.12.8-11.0.1.el8,x86_64
dejavu-fonts-common,2.35-6.el8,noarch
dejavu-sans-mono-fonts,2.35-6.el8,noarch
device-mapper,1.02.171-5.el8,x86_64
device-mapper-event,1.02.171-5.el8,x86_64
device-mapper-event-libs,1.02.171-5.el8,x86_64
device-mapper-libs,1.02.171-5.el8,x86_64
device-mapper-persistent-data,0.8.5-4.el8,x86_64
dhcp-client,4.3.6-41.el8,x86_64
dhcp-common,4.3.6-41.el8,noarch
dhcp-libs,4.3.6-41.el8,x86_64
diffstat,1.61-7.el8,x86_64
diffutils,3.6-6.el8,x86_64
dmidecode,3.2-6.el8,x86_64
dnf,4.2.23-4.el8,noarch
dnf-data,4.2.23-4.el8,noarch
dnf-plugins-core,4.0.17-5.el8,noarch
dnsmasq,2.79-13.el8,x86_64
dos2unix,7.4.0-3.el8,x86_64
dracut,049-95.git20200804.0.2.el8,x86_64
dracut-config-rescue,049-95.git20200804.0.2.el8,x86_64
dracut-network,049-95.git20200804.0.2.el8,x86_64
dracut-squash,049-95.git20200804.0.2.el8,x86_64
drpm,0.4.1-3.el8,x86_64
e2fsprogs,1.45.6-1.el8,x86_64
e2fsprogs-libs,1.45.6-1.el8,x86_64
ed,1.14.2-4.el8,x86_64
elfutils-default-yama-scope,0.180-1.el8,noarch
elfutils-libelf,0.180-1.el8,x86_64
elfutils-libs,0.180-1.el8,x86_64
emacs-filesystem,26.1-5.el8,noarch
ethtool,5.0-2.el8,x86_64
expat,2.2.5-4.el8,x86_64
expect,5.45.4-5.el8,x86_64
file,5.33-16.el8,x86_64
file-libs,5.33-16.el8,x86_64
filesystem,3.8-3.el8,x86_64
findutils,4.6.0-20.el8,x86_64
fio,3.19-3.el8,x86_64
fontconfig,2.13.1-3.el8,x86_64
fontpackages-filesystem,1.44-22.el8,noarch
freeipmi,1.6.1-1.el8,x86_64
freeipmi-bmc-watchdog,1.6.1-1.el8,x86_64
freeipmi-ipmidetectd,1.6.1-1.el8,x86_64
freeipmi-ipmiseld,1.6.1-1.el8,x86_64
freetype,2.9.1-4.el8,x86_64
fribidi,1.0.4-8.el8,x86_64
fuse-libs,2.9.7-12.0.2.el8,x86_64
gawk,4.2.1-1.el8,x86_64
gdbm,1.18-1.el8,x86_64
gdbm-libs,1.18-1.el8,x86_64
gettext,0.19.8.1-17.el8,x86_64
gettext-libs,0.19.8.1-17.el8,x86_64
giflib,5.1.4-3.el8,x86_64
git,2.27.0-1.el8,x86_64
git-core,2.27.0-1.el8,x86_64
git-core-doc,2.27.0-1.el8,noarch
glib2,2.56.4-8.el8,x86_64
glibc,2.28-127.0.1.el8,x86_64
glibc-common,2.28-127.0.1.el8,x86_64
glibc-headers,2.28-127.0.1.el8,x86_64
glibc-langpack-en,2.28-127.0.1.el8,x86_64
glibc-langpack-ja,2.28-127.0.1.el8,x86_64
gmp,6.1.2-10.el8,x86_64
gnupg2,2.2.20-2.el8,x86_64
gnupg2-smime,2.2.20-2.el8,x86_64
gnutls,3.6.14-6.el8,x86_64
google-authenticator,1.07-1.el8,x86_64
gpg-pubkey,ad986da3-5cabf60d,(none)
gpgme,1.13.1-3.el8,x86_64
graphite2,1.3.10-10.el8,x86_64
grep,3.1-6.el8,x86_64
groff-base,1.22.3-18.el8,x86_64
grub2-common,2.02-90.0.1.el8,noarch
grub2-pc,2.02-90.0.1.el8,x86_64
grub2-pc-modules,2.02-90.0.1.el8,noarch
grub2-tools,2.02-90.0.1.el8,x86_64
grub2-tools-extra,2.02-90.0.1.el8,x86_64
grub2-tools-minimal,2.02-90.0.1.el8,x86_64
grubby,8.40-41.0.1.el8,x86_64
gssproxy,0.8.0-16.el8,x86_64
gzip,1.9-9.el8,x86_64
hardlink,1.3-6.el8,x86_64
harfbuzz,1.7.5-3.el8,x86_64
hdparm,9.54-2.el8,x86_64
hostname,3.20-6.el8,x86_64
httpd,2.4.37-30.0.1.module+el8.3.0+7816+49791cfd,x86_64
httpd-filesystem,2.4.37-30.0.1.module+el8.3.0+7816+49791cfd,noarch
httpd-tools,2.4.37-30.0.1.module+el8.3.0+7816+49791cfd,x86_64
hwdata,0.314-8.6.el8,noarch
hyperv-daemons,0-0.29.20180415git.el8,x86_64
hyperv-daemons-license,0-0.29.20180415git.el8,noarch
hypervfcopyd,0-0.29.20180415git.el8,x86_64
hypervkvpd,0-0.29.20180415git.el8,x86_64
hypervvssd,0-0.29.20180415git.el8,x86_64
ima-evm-utils,1.1-5.el8,x86_64
info,6.5-6.el8,x86_64
initscripts,10.00.9-1.el8,x86_64
iotop,0.6-16.el8,noarch
ipcalc,0.2.4-4.el8,x86_64
iperf3,3.5-6.el8,x86_64
ipmievd,1.8.18-17.el8,x86_64
ipmitool,1.8.18-17.el8,x86_64
iproute,5.3.0-5.el8,x86_64
iptables-libs,1.8.4-15.0.1.el8,x86_64
iptraf-ng,1.1.4-18.el8,x86_64
iputils,20180629-2.el8,x86_64
irqbalance,1.4.0-4.el8,x86_64
jansson,2.11-3.el8,x86_64
java-1.8.0-openjdk-headless,1.8.0.265.b01-4.el8,x86_64
java-11-openjdk,11.0.8.10-6.el8,x86_64
java-11-openjdk-headless,11.0.8.10-6.el8,x86_64
javapackages-filesystem,5.3.0-1.module+el8+5136+7ff78f74,noarch
jq,1.5-12.el8,x86_64
json-c,0.13.1-0.2.el8,x86_64
kernel,4.18.0-240.el8,x86_64
kernel-core,4.18.0-240.el8,x86_64
kernel-headers,4.18.0-240.el8,x86_64
kernel-modules,4.18.0-240.el8,x86_64
kernel-tools,4.18.0-240.el8,x86_64
kernel-tools-libs,4.18.0-240.el8,x86_64
kexec-tools,2.0.20-34.0.2.el8,x86_64
keyutils,1.5.10-6.el8,x86_64
keyutils-libs,1.5.10-6.el8,x86_64
kmod,25-16.0.1.el8,x86_64
kmod-libs,25-16.0.1.el8,x86_64
krb5-libs,1.18.2-5.el8,x86_64
langpacks-en,1.0-12.el8,noarch
langpacks-ja,1.0-12.el8,noarch
lcms2,2.9-2.el8,x86_64
ledmon,0.94-1.el8,x86_64
less,530-1.el8,x86_64
lftp,4.8.4-2.el8,x86_64
libX11,1.6.8-3.el8,x86_64
libX11-common,1.6.8-3.el8,noarch
libXau,1.0.9-3.el8,x86_64
libXcomposite,0.4.4-14.el8,x86_64
libXext,1.3.4-1.el8,x86_64
libXft,2.3.3-1.el8,x86_64
libXi,1.7.10-1.el8,x86_64
libXrender,0.9.10-7.el8,x86_64
libXtst,1.2.3-7.el8,x86_64
libacl,2.2.53-1.el8,x86_64
libaio,0.3.112-1.el8,x86_64
libarchive,3.3.2-9.el8,x86_64
libassuan,2.5.1-3.el8,x86_64
libattr,2.4.48-3.el8,x86_64
libbabeltrace,1.5.4-3.el8,x86_64
libbasicobjects,0.1.1-39.el8,x86_64
libblkid,2.32.1-24.el8,x86_64
libbpf,0.0.8-4.el8,x86_64
libcap,2.26-4.el8,x86_64
libcap-ng,0.7.9-5.el8,x86_64
libcollection,0.7.0-39.el8,x86_64
libcom_err,1.45.6-1.el8,x86_64
libcomps,0.1.11-4.el8,x86_64
libcroco,0.6.12-4.el8_2.1,x86_64
libcurl,7.61.1-14.el8,x86_64
libdatrie,0.2.9-7.el8,x86_64
libdb,5.3.28-39.el8,x86_64
libdb-utils,5.3.28-39.el8,x86_64
libdnf,0.48.0-5.0.1.el8,x86_64
libedit,3.1-23.20170329cvs.el8,x86_64
liberation-fonts-common,2.00.3-7.el8,noarch
liberation-sans-fonts,2.00.3-7.el8,noarch
libestr,0.1.10-1.el8,x86_64
libevent,2.1.8-5.el8,x86_64
libfastjson,0.99.8-2.el8,x86_64
libfdisk,2.32.1-24.el8,x86_64
libffi,3.1-22.el8,x86_64
libfontenc,1.1.3-8.el8,x86_64
libgcc,8.3.1-5.1.0.1.el8,x86_64
libgcrypt,1.8.5-4.el8,x86_64
libgomp,8.3.1-5.1.0.1.el8,x86_64
libgpg-error,1.31-1.el8,x86_64
libibverbs,29.0-3.el8,x86_64
libicu,60.3-2.el8_1,x86_64
libidn2,2.2.0-1.el8,x86_64
libini_config,1.3.1-39.el8,x86_64
libjpeg-turbo,1.5.3-10.el8,x86_64
libkcapi,1.2.0-2.0.1.el8,x86_64
libkcapi-hmaccalc,1.2.0-2.0.1.el8,x86_64
libknet1,1.16-1.el8,x86_64
libknet1-compress-bzip2-plugin,1.16-1.el8,x86_64
libknet1-compress-lz4-plugin,1.16-1.el8,x86_64
libknet1-compress-lzma-plugin,1.16-1.el8,x86_64
libknet1-compress-lzo2-plugin,1.16-1.el8,x86_64
libknet1-compress-plugins-all,1.16-1.el8,x86_64
libknet1-compress-zlib-plugin,1.16-1.el8,x86_64
libknet1-crypto-nss-plugin,1.16-1.el8,x86_64
libknet1-crypto-openssl-plugin,1.16-1.el8,x86_64
libknet1-crypto-plugins-all,1.16-1.el8,x86_64
libknet1-plugins-all,1.16-1.el8,x86_64
libksba,1.3.5-7.el8,x86_64
libldb,2.1.3-2.el8,x86_64
libmetalink,0.1.3-7.el8,x86_64
libmnl,1.0.4-6.el8,x86_64
libmodulemd,2.9.4-2.el8,x86_64
libmount,2.32.1-24.el8,x86_64
libnfsidmap,2.3.3-35.el8,x86_64
libnftnl,1.1.5-4.el8,x86_64
libnghttp2,1.33.0-3.el8_2.1,x86_64
